title,description,source,published_at,keywords,crisis_category,sentiment_score,sentiment,crisis_severity_score
"higher oil prices from trump’s iran war risk killing the ai boom, wto says",president deals seems to be setting the global economy on fire.,Gizmodo.com,2026-03-19T19:30:17Z,"['president', 'deals', 'seems', 'setting', 'global', 'economy', 'fire']",economy,0.0,neutral,30.0
paramount’s takeover of warner bros is turning into an international crisis,going to war with iran has suddenly brought china back into the mix on the sale.,Gizmodo.com,2026-03-09T18:05:37Z,"['going', 'war', 'iran', 'suddenly', 'brought', 'china', 'back', 'mix', 'sale']",war,0.0,neutral,50.0
"the iran war is driving an oil shock — but not a broad supply chain crisis, goldman sachs says","oil shock from iran war raises inflation concerns, but goldman sachs sees minimal impact on global supply chains outside energy sector.",Business Insider,2026-03-16T06:47:18Z,"['oil', 'shock', 'iran', 'war', 'raises', 'inflation', 'concerns', 'goldman', 'sachs', 'sees', 'minimal', 'impact', 'global', 'supply', 'chains', 'outside', 'energy', 'sector']",war,-0.03333333333333333,negative,51.67
"oil surges to its highest price since 2023, and stocks drop after u.s. jobs report",stocks fell friday on worries that the economy could become stuck in a worst-case scenario of stagnating growth and high inflation. oil prices touched their highest levels since 2023 after surging again because of the iran war.,NPR,2026-03-06T20:17:20Z,"['stocks', 'fell', 'friday', 'worries', 'economy', 'could', 'become', 'stuck', 'scenario', 'stagnating', 'growth', 'high', 'inflation', 'oil', 'prices', 'touched', 'highest', 'levels', 'since', '2023', 'surging', 'iran', 'war']",war,0.16,positive,58.0
trump advisor says pain for u.s. consumers ‘last of our concerns’ as other countries start gas rationing,kevin hassett claims the war will last 4-6 weeks.,Gizmodo.com,2026-03-17T18:40:09Z,"['kevin', 'hassett', 'claims', 'war', 'last', 'weeks']",war,0.0,neutral,50.0
asia stocks slide as us and iran threaten to intensify war,the international energy agency chief said the war could lead to the world's worst energy crisis in decades.,BBC News,2026-03-23T03:00:32Z,"['international', 'energy', 'agency', 'chief', 'said', 'war', 'could', 'lead', 'world', 'worst', 'energy', 'crisis', 'decades']",war,-0.5,negative,75.0
wary allies show there's no quick fix to trump's iran crisis,"european leaders are hesitant to help trump secure the strait of hormuz, but they know inaction on the iran war isn't really an option.",BBC News,2026-03-16T15:12:25Z,"['european', 'leaders', 'hesitant', 'help', 'trump', 'secure', 'strait', 'hormuz', 'know', 'inaction', 'iran', 'war', 'really', 'option']",war,0.20000000000000004,positive,60.0
what smart people are saying about inflation as the war in iran presses on,business insider spoke with experts and reviewed commentary to see what smart people think the war with iran means for inflation and consumers.,Business Insider,2026-03-10T14:59:13Z,"['business', 'insider', 'spoke', 'experts', 'reviewed', 'commentary', 'see', 'smart', 'people', 'think', 'war', 'iran', 'means', 'inflation', 'consumers']",war,0.21428571428571427,positive,60.71
oil surged past $100 before coming back to earth. wall street is bracing for what comes next.,stocks emerged unscathed on monday after a wild day in the oil markets. can it last?,Business Insider,2026-03-10T11:47:43Z,"['stocks', 'emerged', 'unscathed', 'monday', 'wild', 'day', 'oil', 'markets', 'last']",economy,0.05,positive,32.5
cathie wood warns oil could plunge 50% amid hormuz crisis,oil markets have been on a roller coaster since the outbreak of the u.s.-israel-iran war. fears of a supply shock initially sent prices soaring above $100...,TheStreet,2026-03-11T16:01:38Z,"['oil', 'markets', 'roller', 'coaster', 'since', 'outbreak', 'war', 'fears', 'supply', 'shock', 'initially', 'sent', 'prices', 'soaring', '100']",war,0.0,neutral,50.0
"nobel economist paul krugman says stagflation risk is rising, even after the fed dismisses it","economist paul krugman warned of rising stagflation risk in the us, clashing with fed chair jerome powell's latest assessment of economic conditions.",Business Insider,2026-03-19T14:42:05Z,"['economist', 'paul', 'krugman', 'warned', 'rising', 'stagflation', 'risk', 'us', 'clashing', 'fed', 'chair', 'jerome', 'powell', 'latest', 'assessment', 'economic', 'conditions']",other,0.35,positive,27.5
citi ceo doesn't see systemic risk lurking in private credit — unless these 3 things converge,"citi ceo jane fraser said she's ""sanguine"" on the risks in private credit, but concerns about ai and war in iran could make things more problematic.",Business Insider,2026-03-10T17:04:24Z,"['citi', 'ceo', 'jane', 'fraser', 'said', 'sanguine', 'risks', 'private', 'credit', 'concerns', 'ai', 'war', 'iran', 'could', 'make', 'things', 'problematic']",war,0.25,positive,62.5
what happens if iran shuts down the strait of hormuz?,the strait of hormuz is one of the most sensitive pressure points in the global economy. conflict in iran could put it at risk indefinitely.,Wired,2026-03-01T15:31:22Z,"['strait', 'hormuz', 'one', 'sensitive', 'pressure', 'points', 'global', 'economy', 'conflict', 'iran', 'could', 'put', 'risk', 'indefinitely']",war,0.19999999999999998,positive,60.0
"getting to the airport 3 hours early is no guarantee you’ll make your flight, as tsa crisis worsens","""i've never seen hartsfield jackson this bad,"" one local reporter in atlanta wrote.",Gizmodo.com,2026-03-20T18:25:46Z,"['never', 'seen', 'hartsfield', 'jackson', 'bad', 'one', 'local', 'reporter', 'atlanta', 'wrote']",other,-0.3499999999999999,negative,27.5
why your phone battery dies faster during a public emergency,"during a geopolitical crisis, things like weak signal strength, network congestion, and gps interference can force smartphones to work harder. here’s how you can save your battery.",Wired,2026-03-13T09:00:00Z,"['geopolitical', 'crisis', 'things', 'like', 'weak', 'signal', 'strength', 'network', 'congestion', 'gps', 'interference', 'force', 'smartphones', 'work', 'harder', 'save', 'battery']",other,-0.2375,negative,21.88
ai czar david sacks wants trump to ‘get out’ of iran,"david sacks, the white house's ai and crypto czar, has warned that a continued war in iran could be catastrophic. on the all in podcast, sacks said that ""we should try to find the off-ramp."" he expressed concern that iran could demolish oil and gas infrastruc…",The Verge,2026-03-15T14:13:25Z,"['david', 'sacks', 'white', 'house', 'ai', 'crypto', 'czar', 'warned', 'continued', 'war', 'iran', 'could', 'catastrophic', 'podcast', 'sacks', 'said', 'try', 'find', 'expressed', 'concern', 'iran', 'could', 'demolish', 'oil', 'gas']",war,0.0,neutral,50.0
what trump’s war on iran means for the us energy crunch,"fuel prices surged after the trump administration launched strikes against iran on saturday, immediately raising questions about whether the war would increase energy costs for americans, put more pressure on power grids, and push companies to pump out more o…",The Verge,2026-03-03T21:41:25Z,"['fuel', 'prices', 'surged', 'trump', 'administration', 'launched', 'strikes', 'iran', 'saturday', 'immediately', 'raising', 'questions', 'whether', 'war', 'would', 'increase', 'energy', 'costs', 'americans', 'put', 'pressure', 'power', 'grids', 'push', 'companies', 'pump']",war,0.5,positive,75.0
the middle east crisis isn't just about stranded tankers — oil output could be forced offline next,"if export routes via the strait of hormuz remain blocked, producers could be forced to halt production as storage fills up.",Business Insider,2026-03-03T07:16:36Z,"['export', 'routes', 'via', 'strait', 'hormuz', 'remain', 'blocked', 'producers', 'could', 'forced', 'halt', 'production', 'storage', 'fills']",other,-0.30000000000000004,negative,25.0
3 big takeaways from the fed's march meeting,inflation and steep oil prices were headlines at the fed's march meeting. powell hinted he may remain on the fomc after his term as chair.,Business Insider,2026-03-18T20:17:05Z,"['inflation', 'steep', 'oil', 'prices', 'headlines', 'fed', 'march', 'meeting', 'powell', 'hinted', 'may', 'remain', 'fomc', 'term', 'chair']",economy,0.0,neutral,30.0
trump kicks off state of the union touting his economic agenda,trump emphasized his affordability goals during his 2026 state of the union address.,Business Insider,2026-02-25T02:35:31Z,"['trump', 'emphasized', 'affordability', 'goals', '2026', 'state', 'union', 'address']",other,0.0,neutral,10.0
fed set to adjust interest rates for 1st time since war with iran spiked oil prices,"oil prices have surged in recent weeks, threatening wider inflation.",Abcnews.com,2026-03-18T09:05:00Z,"['oil', 'prices', 'surged', 'recent', 'weeks', 'threatening', 'wider', 'inflation']",economy,0.0,neutral,30.0
how the war in iran is hitting crypto,"the ""digital gold"" narrative is getting a stress test.",Gizmodo.com,2026-03-04T20:10:17Z,"['digital', 'gold', 'narrative', 'getting', 'stress', 'test']",other,0.0,neutral,10.0
trump is kicking the economy while it’s down,how the war with iran could lead to a recession,The Atlantic,2026-03-19T11:00:00Z,"['war', 'iran', 'could', 'lead', 'recession']",war,0.0,neutral,50.0
